state_id,condition,family,suite,task_id,episode_idx,episode,source_episode_success,intervention_step,step_budget,success_A_baseline,steps_A_baseline,rts_A_baseline,success_B_top_D,steps_B_top_D,rts_B_top_D,success_C_top_DS,steps_C_top_DS,rts_C_top_DS,success_D_full_oracle,steps_D_full_oracle,rts_D_full_oracle,case1_rescue_DxS,case2_damage_DxS,case3_oracle_rescue,case4_oracle_also_fail,rescue_topD,damage_topD,damage_oracle
A_occlusion_medium_libero_goal_t05_ep000_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,0,A_occlusion_medium_libero_goal_t5_ep0,False,24,226,0,226,,0,226,,0,226,,0,226,,0,0,0,1,0,0,0
A_occlusion_medium_libero_goal_t05_ep001_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,1,A_occlusion_medium_libero_goal_t5_ep1,False,24,226,0,226,,0,226,,0,226,,0,226,,0,0,0,1,0,0,0
A_occlusion_medium_libero_goal_t05_ep002_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,2,A_occlusion_medium_libero_goal_t5_ep2,True,24,226,1,85,85,1,85,85,1,88,88,1,87,87,0,0,0,0,0,0,0
A_occlusion_medium_libero_goal_t05_ep003_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,3,A_occlusion_medium_libero_goal_t5_ep3,False,24,226,0,226,,0,226,,0,226,,0,226,,0,0,0,1,0,0,0
A_occlusion_medium_libero_goal_t05_ep004_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,4,A_occlusion_medium_libero_goal_t5_ep4,False,24,226,0,226,,0,226,,0,226,,0,226,,0,0,0,1,0,0,0
A_occlusion_medium_libero_goal_t05_ep005_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,5,A_occlusion_medium_libero_goal_t5_ep5,False,24,226,0,226,,0,226,,0,226,,0,226,,0,0,0,1,0,0,0
A_occlusion_medium_libero_goal_t05_ep006_s0128_approach,A_occlusion_medium,A_occlusion,libero_goal,5,6,A_occlusion_medium_libero_goal_t5_ep6,False,128,122,0,122,,0,122,,0,122,,0,122,,0,0,0,1,0,0,0
A_occlusion_medium_libero_goal_t05_ep007_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,7,A_occlusion_medium_libero_goal_t5_ep7,True,24,226,1,84,84,0,226,,1,92,92,0,226,,0,0,0,0,0,1,1
A_occlusion_medium_libero_goal_t05_ep008_s0136_approach,A_occlusion_medium,A_occlusion,libero_goal,5,8,A_occlusion_medium_libero_goal_t5_ep8,True,136,114,1,18,18,1,18,18,1,18,18,1,18,18,0,0,0,0,0,0,0
A_occlusion_medium_libero_goal_t05_ep009_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,5,9,A_occlusion_medium_libero_goal_t5_ep9,True,24,226,1,111,111,1,106,106,1,116,116,0,226,,0,0,0,0,0,0,1
A_occlusion_medium_libero_goal_t08_ep000_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,8,0,A_occlusion_medium_libero_goal_t8_ep0,True,24,226,1,68,68,1,67,67,1,69,69,1,68,68,0,0,0,0,0,0,0
A_occlusion_medium_libero_goal_t08_ep001_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,8,1,A_occlusion_medium_libero_goal_t8_ep1,True,24,226,1,69,69,0,226,,1,67,67,1,67,67,0,0,0,0,0,1,0
A_occlusion_medium_libero_goal_t08_ep002_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,8,2,A_occlusion_medium_libero_goal_t8_ep2,True,24,226,0,226,,1,87,87,1,97,97,1,83,83,1,0,1,0,1,0,0
A_occlusion_medium_libero_goal_t08_ep003_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,8,3,A_occlusion_medium_libero_goal_t8_ep3,True,24,226,1,74,74,1,77,77,1,73,73,1,72,72,0,0,0,0,0,0,0
A_occlusion_medium_libero_goal_t08_ep004_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,8,4,A_occlusion_medium_libero_goal_t8_ep4,True,24,226,1,89,89,1,89,89,1,88,88,1,89,89,0,0,0,0,0,0,0
A_occlusion_medium_libero_goal_t08_ep005_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,8,5,A_occlusion_medium_libero_goal_t8_ep5,True,24,226,1,133,133,1,74,74,1,74,74,0,226,,0,0,0,0,0,0,1
A_occlusion_medium_libero_goal_t08_ep006_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,8,6,A_occlusion_medium_libero_goal_t8_ep6,False,24,226,1,74,74,1,76,76,1,78,78,1,78,78,0,0,0,0,0,0,0
A_occlusion_medium_libero_goal_t08_ep007_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,8,7,A_occlusion_medium_libero_goal_t8_ep7,True,24,226,1,83,83,0,226,,0,226,,1,87,87,0,1,0,0,0,1,0
A_occlusion_medium_libero_goal_t08_ep008_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,8,8,A_occlusion_medium_libero_goal_t8_ep8,False,24,226,1,85,85,1,84,84,1,79,79,1,86,86,0,0,0,0,0,0,0
A_occlusion_medium_libero_goal_t08_ep009_s0024_approach,A_occlusion_medium,A_occlusion,libero_goal,8,9,A_occlusion_medium_libero_goal_t8_ep9,False,24,226,1,94,94,1,82,82,1,80,80,1,79,79,0,0,0,0,0,0,0
A_occlusion_medium_libero_object_t00_ep000_s0024_approach,A_occlusion_medium,A_occlusion,libero_object,0,0,A_occlusion_medium_libero_object_t0_ep0,False,24,226,1,174,174,1,125,125,0,226,,0,226,,0,1,0,0,0,0,1
A_occlusion_medium_libero_object_t00_ep001_s0024_approach,A_occlusion_medium,A_occlusion,libero_object,0,1,A_occlusion_medium_libero_object_t0_ep1,False,24,226,1,167,167,1,198,198,0,226,,1,165,165,0,1,0,0,0,0,0
A_occlusion_medium_libero_object_t00_ep002_s0024_approach,A_occlusion_medium,A_occlusion,libero_object,0,2,A_occlusion_medium_libero_object_t0_ep2,True,24,226,1,172,172,1,127,127,1,137,137,1,133,133,0,0,0,0,0,0,0
A_occlusion_medium_libero_object_t00_ep003_s0024_approach,A_occlusion_medium,A_occlusion,libero_object,0,3,A_occlusion_medium_libero_object_t0_ep3,True,24,226,1,135,135,1,136,136,1,138,138,1,137,137,0,0,0,0,0,0,0
A_occlusion_medium_libero_object_t00_ep004_s0032_approach,A_occlusion_medium,A_occlusion,libero_object,0,4,A_occlusion_medium_libero_object_t0_ep4,True,32,218,1,155,155,1,189,189,1,183,183,1,146,146,0,0,0,0,0,0,0
